page,0,,2,Energy (Energy),Water,Protein,Fat,"Carbohydrate, Carbohydrate available,Carbohydrate by difference",Dietary Fibre,Ash,Calcium,Phosphorus,Magnesium,Sodium,Potassium,Iron,Copper,Zinc,Iodine,Betacarotene,Retinol,Total Vitamin A (RAE),Thiamin,Riboflavin,Niacin,Vitamin C,Vitamin E,Sugar,,29,30,31,32
food_page_14,03044,"ถั่วเหลือง, คั่ว","Soybean, seeds, roasted",(435),10.5,36.80,19.20,(28.80),(5.1),4.70,,,,,,,,,,,,,0.04,0.64,11.60,,,-,,,,,
food_page_14,03045,"ถั่วเหลือง, ดิบ","Soybean, seeds, raw",(430),11.1,34.00,18.70,(31.40),(4.7),4.80,245,500,,,,10.00,,,,,,,0.73,0.19,1.50,14,,-,,,,,
food_page_14,03046,"ถั่วเหลือง, นม, UHT","Soybean, milk, UHT",72,85.5,2.40,3.10,8.60,0.0,0.40,22,26,,,,0.50,,,,,,,0.20,0.07,0.40,0,,-,,,,,
food_page_14,03047,"แปะก๊วย, เมล็ด, ไม่มีเปลือก","Ginkgo, seeds, hulled",185,53.0,5.20,1.90,35.20,3.1,1.60,48,171,,,,tr,,,,170,,14,,,1.60,0,,-,,,,,
food_page_14,03048,"มะพร้าว, ขูด, กาก","Coconut, grated meat, pressed",(154),72.7,1.40,9.40,(16.00),(5.7),0.50,,32,,,,,,,,,,,0.02,0.15,2.90,3,,-,,,,,
food_page_14,03049,"มะพร้าว, ขูด, เนื้อ","Coconut, grated meat",(326),53.5,3.50,28.70,(13.30),(6.4),1.00,,78,,,,1.90,,,,,,,0.02,0.05,1.50,11,,-,,,,,
food_page_14,03050,"มะพร้าว, น้ำตาล",Sugar from coconut,352,11.2,0.30,0.10,87.40,,1.00,80,609,,,,14.40,,,,,,,0.05,0.09,3.60,0,,-,,,,,
food_page_14,03051,"มะพร้าวแก่, เนื้อ","Milk coconut, fluffy coconut",228,67.1,2.11,19.76,10.44,,0.63,8,59,33,88,281,1.41,,,3,0,,0,0.01,0.02,,1,0.00,-,,,,,
food_page_14,03052,"มะพร้าวอ่อน, เนื้อ","Coconut, meat, immature",(73),83.1,1.60,2.00,(12.20),(4.5),1.10,13,173,,,,1.00,,,,,0,,0.06,0.04,1.30,4,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,
food_page_15,03053,"เมล็ดกระถิน, แห้ง, คั่ว","Leadtree seeds, roasted",(415),3.1,36.00,9.10,(47.20),(12.2),4.6,79,336,,,,12.40,,,,,0,,0.20,1.67,4.3,,,-,,,,,
food_page_15,03054,"เมล็ดขนุน, ดิบ","Jack fruit, seeds, raw",135,60.7,5.50,0.20,23.23,9.0,1.4,,105,,,,2.90,,,,,0,,1.74,0.02,3.2,24,,-,,,,,
food_page_15,03055,"เมล็ดเงาะ, ดิบ","Rambutan, seeds, raw",(374),35.1,7.30,24.20,(31.80),(1.6),1.6,19,117,,,,2.90,,,,,0,,0.04,0.97,0.4,15,,-,,,,,
food_page_15,03056,"เมล็ดถั่วแขก, ดิบ","French bean, seeds, raw",(380),10.3,18.50,6.00,(63.00),(2.4),2.2,,253,,,,,,,,0,0,0,0.22,0.73,2.1,0,,-,,,,,
food_page_15,03057,"เมล็ดถั่วพู, ปอกเปลือก, ลวก","Winged bean, hulled, blanched",(309),38.8,26.60,14.80,(17.30),(3.7),2.50,36,,,,,5.40,,,,,0,,0.57,3.96,4.40,0,,-,,,,,
food_page_15,03058,"เมล็ดบัว, นึ่ง","Lotus, seeds, steamed",(157),59.7,10.30,0.50,(27.90),,1.60,12,127,,,,1.80,,,,,0,7,,tr,0.40,,,-,,,,,
food_page_15,03059,"เมล็ดบัว, สด","Lotus, seeds, raw",65,83.1,3.93,0.26,11.68,,0.99,,,,,,,,,,,,,,,,39,,-,,,,,
food_page_15,03060,"เมล็ดบัว, แห้ง, ดิบ","Lotus, seeds, dried, raw",332,10.8,19.20,2.10,54.10,10.1,3.70,122,626,,60,,4.40,,,20,tr,0,tr,0.18,0.15,1.80,2,1.0,-,,,,,
food_page_15,03061,"เมล็ดมะขาม, คั่ว","Tamarind, seeds, roasted",(393),10.2,14.30,7.70,(66.60),(1.7),1.20,3,185,,,,0.20,,,,,0,,0.00,1.89,0.40,,,-,,,,,
food_page_15,03062,"เมล็ดมะม่วงหิมพานต์, คั่ว","Cashew nut, roasted",(597),3.8,19.50,44.80,(29.00),(0.8),2.90,38,236,,,,0.70,,,,,0,,0.50,0.15,1.30,0,,-,,,,,
food_page_15,03063,"เมล็ดมะม่วงหิมพานต์, ดิบ","Cashew nut, raw",592,3.8,19.70,45.00,25.01,4.1,2.40,36,223,,,,0.10,,,,12,0,1,0.65,0.16,0.90,0,0.39,-,,,,,
food_page_15,03064,"เมล็ดมะม่วงหิมพานต์, อบเนย","Cashew nut, baked with butter",609,1.8,19.30,47.30,23.90,5.1,2.60,32,453,,,,tr,,,,0,,0,0.46,0.18,1.10,0,1.02,-,,,,,
food_page_15,03065,วุ้นเส้น,"Noodles, mungbean, dried",(337),15.6,1.60,0.10,(82.50),(0.2),0.20,35,16,,,,,,,,0,,0,0.00,0.00,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_17,04001,"กระเจี๊ยบเปรี้ยว, ใบ","Roselle (red sorrel), leaves",38,88.3,1.70,0.10,5.84,3.5,0.62,104,30,57,6,-,0.80,0.16,0.48,-,-,-,-,0.11,0.24,4.50,44,-,-,,,,,
food_page_17,04002,"กระเจี๊ยบมอญ, กระเจี๊ยบเขียว, ฝักอ่อน","Lady’s finger, young pods",25,91.4,1.86,0.26,1.89,3.9,0.76,69,38,48,7,215,0.80,0.15,0.53,4,335,-,28,0.05,0.12,2.19,11,0.55,-,,,,,
food_page_17,04003,กระชาย,"Wild ginger, finger root",54,85.0,1.30,0.80,9.21,2.4,1.34,15,61,41,10,-,2.30,0.09,0.32,-,0,-,0,0.07,0.30,3.50,2,-,-,,,,,
food_page_17,04004,"กระโดน, ยอดอ่อน","Kra-don, tender tips",(90),76.8,2.60,0.50,(18.80),(1.9),1.30,13,18,-,-,-,1.70,-,-,-,1188,-,198,0.10,0.88,1.80,126,-,-,,,,,
food_page_17,04005,"กระถิน, ยอดอ่อน","Leadtree, tender tips",61,80.7,8.40,0.90,1.03,7.7,1.27,124,53,51,5,-,9.20,0.24,0.88,-,4728,-,394,0.33,0.09,1.70,8,-,-,,,,,
food_page_17,04006,กระทือขาว,"Wild ginger, white",11,95.0,0.40,0.40,0.00,3.0,1.20,-,-,-,-,-,-,-,-,1,14,-,1,tr,0.03,0.72,2,tr,-,,,,,
food_page_17,04007,กระทือแดง,"Wild ginger, red",13,95.1,0.40,0.40,1.00,2.1,1.00,2,-,-,-,-,-,-,-,2,18,-,2,tr,0.04,0.44,3,0.49,-,,,,,
food_page_17,04008,"กระเทียม, ต้น","Garlic, leaves and stem",(40),90.1,3.20,0.80,(5.10),(1.3),0.80,63,45,-,-,-,tr,-,-,-,1634,-,136,0.04,0.15,0.70,28,-,-,,,,,
food_page_17,04009,"กรูงเขมา, น้ำคั้นจากใบ","Ice vine, juice from leaves",3,99.4,0.10,0.10,0.40,0.0,0.00,0,0,-,-,-,0.00,-,-,-,18,-,2,0.00,0.03,0.00,2,-,-,,,,,
food_page_17,04010,"กรูงเขมา, ใบ","Ice vine, leaves",90,75.2,8.50,0.70,11.20,2.4,2.00,423,26,-,-,-,2.10,-,-,-,6577,-,548,0.00,-,1.30,82,-,-,,,,,
food_page_17,04011,"กวางตุ้ง, ดอก","Chinese cabbage, flowers",30,91.1,3.20,0.50,2.00,2.1,1.10,32,30,-,-,-,0.40,-,-,-,1453,-,121,0.14,0.27,0.50,24,-,-,,,,,
food_page_17,04012,"กวางตุ้ง, ต้นและใบ",Chinese cabbage,11,95.6,1.50,0.20,0.00,1.6,1.10,11,34,-,-,-,1.60,-,-,4,1808,-,151,0.04,0.07,0.50,25,-,-,,,,,
food_page_17,04013,"กวางตุ้ง, ไต้หวัน, ต้นและใบ",Pak choi,13,95.7,1.30,0.30,0.90,0.9,0.90,51,39,-,-,-,tr,-,-,-,1412,-,118,0.03,0.15,0.90,48,-,-,,,,,
